debut;fin;groupe
27/12/2025;03/01/2026;4
03/01/2026;10/01/2026;1
10/01/2026;17/01/2026;2
17/01/2026;24/01/2026;3
24/01/2026;31/01/2026;4
31/01/2026;07/02/2026;1
07/02/2026;14/02/2026;2
14/02/2026;21/02/2026;3
21/02/2026;28/02/2026;4
28/02/2026;07/03/2026;1
07/03/2026;14/03/2026;2
14/03/2026;21/03/2026;3
21/03/2026;28/03/2026;4
28/03/2026;04/04/2026;1
04/04/2026;11/04/2026;2
11/04/2026;18/04/2026;3
18/04/2026;25/04/2026;4
25/04/2026;02/05/2026;1
02/05/2026;09/05/2026;2
09/05/2026;16/05/2026;3
16/05/2026;23/05/2026;4
23/05/2026;30/05/2026;1
30/05/2026;06/06/2026;2
06/06/2026;13/06/2026;3
13/06/2026;20/06/2026;4
20/06/2026;27/06/2026;1
27/06/2026;04/07/2026;2
04/07/2026;11/07/2026;3
11/07/2026;18/07/2026;4
18/07/2026;25/07/2026;1
25/07/2026;01/08/2026;2
01/08/2026;08/08/2026;3
08/08/2026;15/08/2026;4
15/08/2026;22/08/2026;1
22/08/2026;29/08/2026;2
29/08/2026;05/09/2026;3
05/09/2026;12/09/2026;4
12/09/2026;19/09/2026;1
19/09/2026;26/09/2026;2
26/09/2026;03/10/2026;3
03/10/2026;10/10/2026;4
10/10/2026;17/10/2026;1
17/10/2026;24/10/2026;2
24/10/2026;31/10/2026;3
31/10/2026;07/11/2026;4
07/11/2026;14/11/2026;1
14/11/2026;21/11/2026;2
21/11/2026;28/11/2026;3
28/11/2026;05/12/2026;4
05/12/2026;12/12/2026;1
12/12/2026;19/12/2026;2
19/12/2026;26/12/2026;3
26/12/2026;02/01/2027;4
